patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target
2610;2609;katarina;Katarina;46.49;15.79;10.95;26.74;-1.2;-1.2;0;-0.6;0
2610;2609;kayle;Kayle;48.53;7.63;3.73;11.36;0.52;0.52;0;0.26;0
2610;2609;kayn;Kayn;46.63;14.94;3.85;18.79;-1.64;-1.64;0;-0.82;0
2610;2609;kennen;Kennen;44.85;5.48;2.02;7.5;-1.32;-1.32;0;-0.66;0
2610;2609;khazix;Kha'Zix;38.75;11.45;4.12;15.57;-15.16;-15.16;0;-7.58;0
2610;2609;kindred;Kindred;47.44;5.2;1.81;7.01;-0.38;-0.38;0;-0.19;0
2610;2609;kled;Kled;47.85;3.53;0.74;4.27;-0.03;-0.03;0;-0.01;0
2610;2609;kogmaw;Kog'Maw;46.86;3.87;0.38;4.25;-4.12;-4.12;0;-2.06;0
2610;2609;ksante;K'Sante;45.0;8.18;2.23;10.41;-3.08;-3.08;0;-1.54;0
2610;2609;leblanc;LeBlanc;43.7;9.47;15.18;24.65;-1.87;-1.87;0;-0.94;0
2610;2609;leesin;Lee Sin;45.99;26.13;14.59;40.72;-0.28;-0.28;0;-0.14;0
2610;2609;leona;Leona;39.62;12.08;5.59;17.67;-2.34;-2.34;0;-1.17;0
2610;2609;lillia;Lillia;40.15;6.89;2.03;8.92;-4.83;-4.83;0;-2.41;0
2610;2609;lissandra;Lissandra;46.8;10.84;3.01;13.85;-0.23;-0.23;0;-0.12;0
2610;2609;lucian;Lucian;42.94;18.18;3.24;21.42;-2.04;-2.04;0;-1.02;0
2610;2609;lulu;Lulu;43.39;20.17;9.87;30.04;-2.09;-2.09;0;-1.05;0
2610;2609;lux;Lux;43.29;19.73;2.93;22.66;-3.76;-3.76;0;-1.88;0
2610;2609;malphite;Malphite;46.46;16.6;19.47;36.07;-1.54;-1.54;0;-0.77;0
2610;2609;malzahar;Malzahar;45.58;16.71;10.17;26.88;-0.04;-0.04;0;-0.02;0
2610;2609;maokai;Maokai;50.72;4.52;0.16;4.68;1.95;1.95;0;0.98;0
2610;2609;masteryi;Master Yi;49.27;14.75;14.36;29.11;0.94;0.94;0;0.47;0
2610;2609;mel;Mel;39.0;11.65;27.49;39.14;-3.62;-3.62;0;-1.81;0
2610;2609;milio;Milio;39.06;15.32;5.58;20.9;-4.16;-4.16;0;-2.08;0
2610;2609;missfortune;Miss Fortune;39.73;12.62;1.01;13.63;-2.54;-2.54;0;-1.27;0
